# 禁止語を1行1語で、語・言い換え先・除外する複合語の3列をタブで区切って書く。
# 語の正は .claude/rules/writing.md「語彙と読み手」節の表で、この一覧はそれを機械が読める形へ写したもの（表を直したらここも直す）。
# lint-vocabulary.sh と lint-comments.ts がどちらもこのファイルを読む。
# 除外する複合語は空白で区切り、判定の前に本文から取り除く（「入口」の「口」は報告しない）。
引く	取得する / 検索する	
落とす	throw する / 削除する / 拒否する	見落とす
倒す	既定値にする / フォールバックする	
畳む	まとめる / 変換する / 閉じる	
流す	適用する / デプロイする / 実行する	
弾く	拒否する / 除外する	
握る	保持する / 無視する	
掛ける	設定する / 適用する	
口	エントリポイント	入口 出口 窓口 人口 河口 一口 口頭 口座 蛇口 非常口
関門	検証	
印	フラグ	矢印 目印 印字 印刷 印象 印鑑
登録簿	レジストリ	
受け皿	置き場 / 行き先 / 既定の行	
素通し	検証なしで通す	
領分	担当	
器	リポジトリ / アプリ	容器 楽器 武器 食器 受話器 消火器 起動器 陶器 磁器 便器 計器
綴り	名前	
